baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
Robert,Billington,2,2,25,Photographer,London,5,Stayed in,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
Robert,Billington,2,3,25,Photographer,London,4,Stayed in,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
Robert,Billington,2,4,25,Photographer,London,7,Stayed in,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
Robert,Billington,2,5,25,Photographer,London,3,Eliminated,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
Robert,Smart,4,1,54,Space Satellite Designer,"Melbourn, Cambridgeshire",1,Star Baker,Pecan and Apple Cake,Raspberry Chocolate Cake
Robert,Smart,4,2,54,Space Satellite Designer,"Melbourn, Cambridgeshire",5,Stayed in,Twisty Rye Bread Sticks,Tribute Loaf
Robert,Smart,4,3,54,Space Satellite Designer,"Melbourn, Cambridgeshire",2,Stayed in,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
Robert,Smart,4,4,54,Space Satellite Designer,"Melbourn, Cambridgeshire",3,Stayed in,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
Robert,Smart,4,5,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,Eliminated,Blueberry & Orange Traybake,Dalek
Rosie,Brandreth-Poynter,10,1,28,Veterinary surgeon,Somerset,2,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,2,28,Veterinary surgeon,Somerset,5,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,3,28,Veterinary surgeon,Somerset,9,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,4,28,Veterinary surgeon,Somerset,4,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,5,28,Veterinary surgeon,Somerset,5,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,6,28,Veterinary surgeon,Somerset,5,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,7,28,Veterinary surgeon,Somerset,1,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,8,28,Veterinary surgeon,Somerset,2,Stayed in,NA,NA
Rosie,Brandreth-Poynter,10,9,28,Veterinary surgeon,Somerset,1,Eliminated,NA,NA
Ruby,Tandoh,4,1,20,History of Art and Philosophy Student,"Southend, Essex",12,Stayed in,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
Ruby,Tandoh,4,2,20,History of Art and Philosophy Student,"Southend, Essex",3,Star Baker,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
Ruby,Tandoh,4,3,20,History of Art and Philosophy Student,"Southend, Essex",3,Stayed in,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
Ruby,Tandoh,4,4,20,History of Art and Philosophy Student,"Southend, Essex",6,Stayed in,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
Ruby,Tandoh,4,5,20,History of Art and Philosophy Student,"Southend, Essex",6,Stayed in,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
Ruby,Tandoh,4,6,20,History of Art and Philosophy Student,"Southend, Essex",1,Star Baker,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
Ruby,Tandoh,4,7,20,History of Art and Philosophy Student,"Southend, Essex",2,Stayed in,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
Ruby,Tandoh,4,8,20,History of Art and Philosophy Student,"Southend, Essex",1,Star Baker,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
Ruby,Tandoh,4,9,20,History of Art and Philosophy Student,"Southend, Essex",4,Stayed in,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
Ruby,Tandoh,4,10,20,History of Art and Philosophy Student,"Southend, Essex",2,Series Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
Ruby,Bhogal,9,1,29,Project manager,London,1,Stayed in,NA,NA
Ruby,Bhogal,9,2,29,Project manager,London,10,Stayed in,NA,NA
Ruby,Bhogal,9,3,29,Project manager,London,7,Stayed in,NA,NA
Ruby,Bhogal,9,4,29,Project manager,London,2,Stayed in,NA,NA
Ruby,Bhogal,9,5,29,Project manager,London,1,Stayed in,NA,NA
Ruby,Bhogal,9,6,29,Project manager,London,7,Stayed in,NA,NA
Ruby,Bhogal,9,7,29,Project manager,London,3,Stayed in,NA,NA
Ruby,Bhogal,9,8,29,Project manager,London,3,Star Baker,NA,NA
Ruby,Bhogal,9,9,29,Project manager,London,1,Star Baker,NA,NA
Ruby,Bhogal,9,10,29,Project manager,London,3,Series Runner-up,NA,NA
Ruth,Clemens,1,1,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Stayed in,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
Ruth,Clemens,1,2,31,Retail manager/Housewife,"Poynton, Cheshire",5,Stayed in,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
Ruth,Clemens,1,3,31,Retail manager/Housewife,"Poynton, Cheshire",2,Stayed in,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
Ruth,Clemens,1,4,31,Retail manager/Housewife,"Poynton, Cheshire",4,Stayed in,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
Ruth,Clemens,1,5,31,Retail manager/Housewife,"Poynton, Cheshire",3,Stayed in,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
Ruth,Clemens,1,6,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Series Runner-up,"Mint, Ginger and Blackberry Cake",NA
Ryan,Chong,3,1,38,Photographer,Bristol,8,Stayed in,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
Ryan,Chong,3,2,38,Photographer,Bristol,5,Stayed in,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
Ryan,Chong,3,3,38,Photographer,Bristol,5,Stayed in,Spiced Pear Tarte Tatin,UNKNOWN
Ryan,Chong,3,4,38,Photographer,Bristol,7,Stayed in,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
Ryan,Chong,3,5,38,Photographer,Bristol,8,Star Baker,Curry Spiced Seabass Wellington,Key Lime Pie
Ryan,Chong,3,6,38,Photographer,Bristol,6,Stayed in,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
Ryan,Chong,3,7,38,Photographer,Bristol,6,Eliminated,Lardy Cakes,Char Siu Bao
Sandy,Docherty,6,1,49,Child welfare officer,"Yeadon, West Yorkshire",9,Stayed in,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
Sandy,Docherty,6,2,49,Child welfare officer,"Yeadon, West Yorkshire",4,Stayed in,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
Sandy,Docherty,6,3,49,Child welfare officer,"Yeadon, West Yorkshire",7,Stayed in,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
Sandy,Docherty,6,4,49,Child welfare officer,"Yeadon, West Yorkshire",6,Eliminated,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
Sarah-Jane,Willis,3,1,28,Vicar's wife,"Bewbush, West Sussex",1,Stayed in,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
Sarah-Jane,Willis,3,2,28,Vicar's wife,"Bewbush, West Sussex",10,Stayed in,Toasted Coconut and Lime RotisOatcakes,UNKNOWN
Sarah-Jane,Willis,3,3,28,Vicar's wife,"Bewbush, West Sussex",8,Stayed in,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
Sarah-Jane,Willis,3,4,28,Vicar's wife,"Bewbush, West Sussex",4,Stayed in,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
Sarah-Jane,Willis,3,5,28,Vicar's wife,"Bewbush, West Sussex",4,Stayed in,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
Sarah-Jane,Willis,3,6,28,Vicar's wife,"Bewbush, West Sussex",4,Stayed in,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
Sarah-Jane,Willis,3,7,28,Vicar's wife,"Bewbush, West Sussex",7,Eliminated,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
Selasi,Gbormittah,7,1,30,Client service associate,London,1,Stayed in,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
Selasi,Gbormittah,7,2,30,Client service associate,London,11,Stayed in,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
Selasi,Gbormittah,7,3,30,Client service associate,London,5,Stayed in,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
Selasi,Gbormittah,7,4,30,Client service associate,London,8,Stayed in,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
Selasi,Gbormittah,7,5,30,Client service associate,London,3,Stayed in,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
Selasi,Gbormittah,7,6,30,Client service associate,London,7,Stayed in,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
Selasi,Gbormittah,7,7,30,Client service associate,London,6,Stayed in,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
Selasi,Gbormittah,7,8,30,Client service associate,London,3,Stayed in,Bouquet of Flowers,Fruity Tudor Marchpane
Selasi,Gbormittah,7,9,30,Client service associate,London,4,Eliminated,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
Simon,Blackwell,2,1,31,Rugby Coach,Norfolk,9,Stayed in,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
Simon,Blackwell,2,2,31,Rugby Coach,Norfolk,11,Eliminated,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
Sophie,Faldo,8,1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",5,Stayed in,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
Sophie,Faldo,8,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,Stayed in,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
Sophie,Faldo,8,3,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",6,Stayed in,Tagine Teacakes,'Picnic Basket' Bread Sculpture
Sophie,Faldo,8,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",4,Stayed in,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
Sophie,Faldo,8,5,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",1,Star Baker,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
Sophie,Faldo,8,6,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,Stayed in,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
Sophie,Faldo,8,7,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",3,Stayed in,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
Sophie,Faldo,8,8,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",4,Stayed in,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
Sophie,Faldo,8,9,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",1,Star Baker,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
Sophie,Faldo,8,10,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,Series Winner,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
Stacey,Hart,8,1,42,Former school teacher,"Radlett, Hertfordshire",11,Stayed in,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
Stacey,Hart,8,2,42,Former school teacher,"Radlett, Hertfordshire",9,Stayed in,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
Stacey,Hart,8,3,42,Former school teacher,"Radlett, Hertfordshire",1,Stayed in,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
Stacey,Hart,8,4,42,Former school teacher,"Radlett, Hertfordshire",1,Stayed in,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
Stacey,Hart,8,5,42,Former school teacher,"Radlett, Hertfordshire",4,Stayed in,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
Stacey,Hart,8,6,42,Former school teacher,"Radlett, Hertfordshire",6,Stayed in,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
Stacey,Hart,8,7,42,Former school teacher,"Radlett, Hertfordshire",4,Stayed in,My All Time Favourite Desserts,Pastry Surprise
Stacey,Hart,8,8,42,Former school teacher,"Radlett, Hertfordshire",3,Star Baker,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
Stacey,Hart,8,9,42,Former school teacher,"Radlett, Hertfordshire",2,Eliminated,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
Steph,Blackwell,10,1,28,Shop assistant,Chester,3,Stayed in,NA,NA
Steph,Blackwell,10,2,28,Shop assistant,Chester,10,Stayed in,NA,NA
Steph,Blackwell,10,3,28,Shop assistant,Chester,3,Stayed in,NA,NA
Steph,Blackwell,10,4,28,Shop assistant,Chester,1,Star Baker,NA,NA
Steph,Blackwell,10,5,28,Shop assistant,Chester,4,Star Baker,NA,NA
Steph,Blackwell,10,6,28,Shop assistant,Chester,3,Star Baker,NA,NA
Steph,Blackwell,10,7,28,Shop assistant,Chester,4,Stayed in,NA,NA
Steph,Blackwell,10,8,28,Shop assistant,Chester,4,Star Baker,NA,NA
Steph,Blackwell,10,9,28,Shop assistant,Chester,3,Stayed in,NA,NA
Steph,Blackwell,10,10,28,Shop assistant,Chester,3,Series Runner-up,NA,NA
Steven,Carter-Bailey,8,1,34,Marketer,"Watford, Hertfordshire",6,Star Baker,Bonfire Night Cake,'A Baker's Lunch' Cake
Steven,Carter-Bailey,8,2,34,Marketer,"Watford, Hertfordshire",6,Star Baker,Amarpressi Biscuits,'Check Bake' Game
Steven,Carter-Bailey,8,3,34,Marketer,"Watford, Hertfordshire",3,Stayed in,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
Steven,Carter-Bailey,8,4,34,Marketer,"Watford, Hertfordshire",7,Stayed in,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
Steven,Carter-Bailey,8,5,34,Marketer,"Watford, Hertfordshire",5,Stayed in,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
Steven,Carter-Bailey,8,6,34,Marketer,"Watford, Hertfordshire",3,Stayed in,'Fleetwood Mac' Decorative Pies,Christmas Pie
Steven,Carter-Bailey,8,7,34,Marketer,"Watford, Hertfordshire",1,Star Baker,Italian Style Cannoli,'Sicilian-style' Sfogliatelle
Steven,Carter-Bailey,8,8,34,Marketer,"Watford, Hertfordshire",1,Stayed in,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
Steven,Carter-Bailey,8,9,34,Marketer,"Watford, Hertfordshire",3,Stayed in,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
Steven,Carter-Bailey,8,10,34,Marketer,"Watford, Hertfordshire",1,Series Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
Stu,Henshall,6,1,35,Professional musician,"Guildford, Surrey",11,Eliminated,Marley Madeira Cake,Purple Forest Gâteau
Stuart,Marston-Smith,3,1,26,PE teacher,"Lichfield, Staffordshire",9,Stayed in,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
Stuart,Marston-Smith,3,2,26,PE teacher,"Lichfield, Staffordshire",9,Stayed in,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
Stuart,Marston-Smith,3,3,26,PE teacher,"Lichfield, Staffordshire",7,Stayed in,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
Stuart,Marston-Smith,3,4,26,PE teacher,"Lichfield, Staffordshire",8,Eliminated,Black Forest Torte,Choca Blocka Mocha Meringue
Tamal,Ray,6,1,29,Trainee anaesthetist,Manchester,4,Stayed in,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
Tamal,Ray,6,2,29,Trainee anaesthetist,Manchester,8,Stayed in,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
Tamal,Ray,6,3,29,Trainee anaesthetist,Manchester,3,Stayed in,"Fig, Cheese and Walnut Breads",Breadcycle
Tamal,Ray,6,4,29,Trainee anaesthetist,Manchester,5,Stayed in,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
Tamal,Ray,6,5,29,Trainee anaesthetist,Manchester,7,Stayed in,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
Tamal,Ray,6,6,29,Trainee anaesthetist,Manchester,7,Stayed in,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
Tamal,Ray,6,7,29,Trainee anaesthetist,Manchester,3,Star Baker,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
Tamal,Ray,6,8,29,Trainee anaesthetist,Manchester,4,Stayed in,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
Tamal,Ray,6,9,29,Trainee anaesthetist,Manchester,2,Stayed in,Chocolate New York Pie,Chocolate Bell Tower
Tamal,Ray,6,10,29,Trainee anaesthetist,Manchester,3,Series Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
Terry,Hartill,9,1,56,Retired air steward,West Midlands,9,Stayed in,NA,NA
Terry,Hartill,9,2,56,Retired air steward,West Midlands,8,Stayed in,NA,NA
Terry,Hartill,9,3,56,Retired air steward,West Midlands,1,Stayed in,NA,NA
Terry,Hartill,9,4,56,Retired air steward,West Midlands,NA,[a],NA,NA
Terry,Hartill,9,5,56,Retired air steward,West Midlands,8,Eliminated,NA,NA
Toby,Waterworth,4,1,30,Web Programmer,"Reading, Berkshire",13,Eliminated,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
Tom,Gilliford,7,1,26,Project engagement manager,Rochdale,2,Stayed in,G&T Drizzle Cake,Black Forest Broken Mirror
Tom,Gilliford,7,2,26,Project engagement manager,Rochdale,7,Stayed in,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
Tom,Gilliford,7,3,26,Project engagement manager,Rochdale,4,Star Baker,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
Tom,Gilliford,7,4,26,Project engagement manager,Rochdale,5,Stayed in,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
Tom,Gilliford,7,5,26,Project engagement manager,Rochdale,4,Stayed in,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
Tom,Gilliford,7,6,26,Project engagement manager,Rochdale,1,Star Baker,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
Tom,Gilliford,7,7,26,Project engagement manager,Rochdale,5,Eliminated,Millionaire's Roulade,Hipster Picnic
Tom,Hetherington,8,1,29,Architect,Edinburgh,7,Stayed in,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
Tom,Hetherington,8,2,29,Architect,Edinburgh,5,Stayed in,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
Tom,Hetherington,8,3,29,Architect,Edinburgh,4,Stayed in,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
Tom,Hetherington,8,4,29,Architect,Edinburgh,5,Eliminated,Stem Ginger Caramel Shortbreads,Hummingbird Cake
Ugnė,Bubnaityte,6,1,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",1,Stayed in,Lemon and Thyme Madeira Cake,Falling Cup Gâteau
Ugnė,Bubnaityte,6,2,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",7,Stayed in,White Wine Biscotti,Baby Climbing into the Cookie Box
Ugnė,Bubnaityte,6,3,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",5,Stayed in,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
Ugnė,Bubnaityte,6,4,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",2,Stayed in,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
Ugnė,Bubnaityte,6,5,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,Eliminated,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
Urvashi,Roe,2,1,40,Head of Marketing,"Enfield, London",7,Stayed in,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
Urvashi,Roe,2,2,40,Head of Marketing,"Enfield, London",7,Stayed in,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
Urvashi,Roe,2,3,40,Head of Marketing,"Enfield, London",9,Eliminated,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
Val,Stones,7,1,66,"Semi-retired, Substitute teacher",Yeovil,10,Stayed in,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
Val,Stones,7,2,66,"Semi-retired, Substitute teacher",Yeovil,5,Stayed in,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
Val,Stones,7,3,66,"Semi-retired, Substitute teacher",Yeovil,1,Stayed in,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
Val,Stones,7,4,66,"Semi-retired, Substitute teacher",Yeovil,6,Stayed in,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
Val,Stones,7,5,66,"Semi-retired, Substitute teacher",Yeovil,7,Eliminated,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
Victoria,Chester,3,1,50,CEO of the charity Plantlife,Somerset,4,Star Baker,Pear and Pecan,Blackbird Pie Cake
Victoria,Chester,3,2,50,CEO of the charity Plantlife,Somerset,7,Stayed in,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
Victoria,Chester,3,3,50,CEO of the charity Plantlife,Somerset,4,Eliminated,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
Yan,Tsou,8,1,46,Laboratory research scientist,North London,4,Stayed in,Windfall Apple Crumble Cake,'Banana-ramen' Cake
Yan,Tsou,8,2,46,Laboratory research scientist,North London,1,Stayed in,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
Yan,Tsou,8,3,46,Laboratory research scientist,North London,8,Stayed in,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
Yan,Tsou,8,4,46,Laboratory research scientist,North London,8,Stayed in,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
Yan,Tsou,8,5,46,Laboratory research scientist,North London,6,Stayed in,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
Yan,Tsou,8,6,46,Laboratory research scientist,North London,1,Stayed in,'πr2' Decorative Pies,Chequerboard Pie
Yan,Tsou,8,7,46,Laboratory research scientist,North London,5,Eliminated,Cannoli Cocktails,Canadian-Style Sfogliatelle
Yasmin,Limbert,2,1,43,Childminder,"West Kirby, The Wirral",5,Stayed in,Cardamom and Pomegranate Cupcakes,UNKNOWN
Yasmin,Limbert,2,2,43,Childminder,"West Kirby, The Wirral",6,Stayed in,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
Yasmin,Limbert,2,3,43,Childminder,"West Kirby, The Wirral",2,Star Baker,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
Yasmin,Limbert,2,4,43,Childminder,"West Kirby, The Wirral",6,Stayed in,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
Yasmin,Limbert,2,5,43,Childminder,"West Kirby, The Wirral",5,Stayed in,Family Fish Pie,Peach and Raspberry Meringue Pie
Yasmin,Limbert,2,6,43,Childminder,"West Kirby, The Wirral",2,Eliminated,Baked Amaretto Cheesecake,Rose Croquembouche
